"P_GPa";"Depth_km";"T_C"
4,8276855937134;153,061642048887;953,916652683597
6,23688029799841;195,901161059152;1376,45605842655
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
6,53999849633163;205,115954288482;1235,75837444381
4,27965187914825;136,401417126107;960,414358434794
4,74286785571323;150,483182813682;932,510753113872
5,75530406856707;181,261243684439;1118,36697932538
5,30278070516737;167,504533437088;1021,51665471778
5,07547035762938;160,594298871933;1034,62263021557
4,91017915976637;155,569446456898;995,845174735663
5,03134830907908;159,252988596004;1001,48346464936
4,63331834721552;147,152877755352;944,661136788442
4,88965062972406;154,945379143611;965,543897793301
4,61183548217753;146,499798658197;913,365948564381
4,27887543183793;136,377813127873;954,465717626522
3,73148636593286;119,737185524359;974,71503735604
5,27068533846309;166,528834289278;1059,45550776663
4,80613611654844;152,406537943073;953,801555627368
5,50994205335146;173,802238421884;1101,86727118538
4,7069566474164;149,391482081459;935,894689090683
5,16140923315229;163,20684068783;1055,85256967852
4,2703652585045;136,119103858537;881,195857586012
4,38268521032659;139,533630393928;951,390430350709
4,95316097849798;156,876093746339;1011,79407112556
5,04083491283562;159,541381350203;1011,73390003088
4,40888272757896;140,3300349184;914,690289603675
4,86566535090197;154,21622666742;1038,68679171934
5,35711604486493;169,156327763894;1088,2670257549
4,67564311886311;148,439550813439;915,719203617944
5,06099723124861;160,154315829958;1003,04887968433
4,93995223327691;156,474547891618;981,253678449365
4,85261324050691;153,81944251141;996,486214317642
5,33633119213503;168,524468240905;1030,07156428477
4,58313229713428;145,627221832882;917,978819453211
5,03423302871583;159,340684072961;940,348543974523
4,90688296410263;155,46924210872;978,097927279212
5,03423302871583;159,340684072961;940,348543974523
4,90688296410263;155,46924210872;978,097927279212
